Model,Metric Name,Adj. R-squared:,R-squared:,F-statistic:,No. Observations:
All LLMs,BERTScore,0.41,0.41,"2,532","14,880"
Human benchmark,BERTScore,0.49,0.5,182,747
Mistral - flexi,BERTScore,0.26,0.26,336,"3,817"
Mistral - strict,BERTScore,0.28,0.29,381,"3,817"
QWen - flexi,BERTScore,0.22,0.22,255,"3,659"
QWen - strict,BERTScore,0.29,0.29,285,"2,840"
All LLMs,difficult_words,0.14,0.14,596,"14,880"
Human benchmark,difficult_words,0.17,0.18,40,747
Mistral - flexi,difficult_words,0.31,0.31,430,"3,817"
Mistral - strict,difficult_words,0.34,0.34,481,"3,817"
QWen - flexi,difficult_words,0.19,0.19,219,"3,659"
QWen - strict,difficult_words,0.19,0.19,165,"2,840"
